wine_type,wine_category,food_item,food_category,cuisine,pairing_quality,quality_label,description
Sauvignon Blanc,White,shrimp scampi,Seafood,Indian,3,Neutral,Crisp acidity suits seafood.
Syrah/Shiraz,Red,fondue,Cheese,Spanish,4,Good,Heuristic pairing assessment.
Nebbiolo,Red,carbonara,Pork,American BBQ,5,Excellent,Idealized perfect pairing example for contrast.
Merlot,Red,mac and cheese,Cheese,Greek,4,Good,Heuristic pairing assessment.
Gewürztraminer,White,grilled ribeye,Red Meat,Spanish,4,Good,Heuristic pairing assessment.
Merlot,Red,carbonara,Pork,German,5,Excellent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,beef stew,Red Meat,Mexican,3,Neutral,Heuristic pairing assessment.
Gamay (Beaujolais),Red,cheese platter,Cheese,Italian,1,Terrible,Deliberately bad pairing example for contrast.
Syrah/Shiraz,Red,mac and cheese,Cheese,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Gamay (Beaujolais),Red,oysters,Seafood,Vietnamese,5,Excellent,Idealized perfect pairing example for contrast.
Pinot Noir,Red,roast chicken with herbs,Poultry,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Albariño,White,sorbet,Dessert,Chinese (Sichuan),1,Terrible,Dry table wine clashes with dessert sweetness.
Riesling (dry),White,citrus salad,Acidic,Thai,5,Excellent,Acidic wine balances acidic food.
Syrah/Shiraz,Red,smoked sausage,Smoky BBQ,Spanish,5,Excellent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,cheesecake,Dessert,American BBQ,3,Neutral,Dry table wine clashes with dessert sweetness.
Madeira,Fortified,citrus salad,Acidic,Middle Eastern,3,Neutral,Acidic wine balances acidic food.
Grüner Veltliner,White,cream of mushroom soup,Creamy,Spanish,5,Excellent,Idealized perfect pairing example for contrast.
Pinot Noir,Red,mushroom risotto,Vegetarian,Ethiopian,1,Terrible,Deliberately bad pairing example for contrast.
Grenache,Red,grilled ribeye,Red Meat,Indian,4,Good,Heuristic pairing assessment.
Merlot,Red,bbq brisket,Red Meat,Italian,5,Excellent,Tannic red complements red meat fat.
Chenin Blanc,White,bbq brisket,Red Meat,Indian,1,Terrible,Delicate wine overwhelmed by red meat.
Grüner Veltliner,White,cheese platter,Cheese,Korean,2,Poor,Heuristic pairing assessment.
Madeira,Fortified,bbq brisket,Red Meat,Spanish,2,Poor,Delicate wine overwhelmed by red meat.
Nebbiolo,Red,grilled ribeye,Red Meat,Greek,4,Good,Heuristic pairing assessment.
Gamay (Beaujolais),Red,beef stew,Red Meat,Thai,3,Neutral,Heuristic pairing assessment.
Ice Wine,Dessert,grilled ribeye,Red Meat,Indian,4,Good,Heuristic pairing assessment.
Port,Fortified,sorbet,Dessert,Ethiopian,5,Excellent,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,carbonara,Creamy,French,3,Neutral,Too lean for creamy dish.
Syrah/Shiraz,Red,caprese salad,Acidic,Vietnamese,3,Neutral,Heuristic pairing assessment.
Port,Fortified,sorbet,Dessert,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Sauternes,Dessert,charcuterie board,Salty Snack,Mexican,2,Poor,Heuristic pairing assessment.
Albariño,White,chocolate mousse,Dessert,Moroccan,1,Terrible,Dry table wine clashes with dessert sweetness.
Albariño,White,carbonara,Creamy,German,3,Neutral,Too lean for creamy dish.
Sauvignon Blanc,White,grilled salmon,Seafood,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Merlot,Red,cheese platter,Cheese,Ethiopian,3,Neutral,Heuristic pairing assessment.
Ice Wine,Dessert,chocolate mousse,Dessert,Vietnamese,3,Neutral,Sweet/sparkling pairs with dessert.
White Zinfandel,Rosé,cheese platter,Cheese,Middle Eastern,2,Poor,Heuristic pairing assessment.
Port,Fortified,caprese salad,Acidic,Spanish,4,Good,Heuristic pairing assessment.
Merlot,Red,carbonara,Pork,Middle Eastern,5,Excellent,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,chocolate mousse,Dessert,American BBQ,3,Neutral,Dry table wine clashes with dessert sweetness.
Torrontés,White,roast lamb,Red Meat,Indian,1,Terrible,Delicate wine overwhelmed by red meat.
Syrah/Shiraz,Red,fondue,Cheese,Vietnamese,5,Excellent,Idealized perfect pairing example for contrast.
Gewürztraminer,White,bbq brisket,Red Meat,Thai,1,Terrible,Delicate wine overwhelmed by red meat.
Gamay (Beaujolais),Red,shrimp scampi,Seafood,Chinese (Sichuan),3,Neutral,Tannic reds clash with delicate seafood.
Grüner Veltliner,White,cream of mushroom soup,Creamy,Vietnamese,1,Terrible,Too lean for creamy dish.
Grenache,Red,grilled ribeye,Red Meat,Thai,2,Poor,Heuristic pairing assessment.
Champagne,Sparkling,roast lamb,Red Meat,Chinese (Sichuan),1,Terrible,Delicate wine overwhelmed by red meat.
Sangiovese,Red,mushroom risotto,Vegetarian,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,gazpacho,Acidic,American BBQ,3,Neutral,Acidic wine balances acidic food.
Ice Wine,Dessert,mixed nuts,Salty Snack,French,2,Poor,Heuristic pairing assessment.
Gamay (Beaujolais),Red,citrus salad,Acidic,Indian,3,Neutral,Acidic wine balances acidic food.
Merlot,Red,grilled ribeye,Red Meat,German,3,Neutral,Heuristic pairing assessment.
Ice Wine,Dessert,stir-fried tofu,Vegetarian,Middle Eastern,5,Excellent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,cream of mushroom soup,Creamy,Korean,1,Terrible,Too lean for creamy dish.
Torrontés,White,caprese salad,Acidic,Middle Eastern,2,Poor,Heuristic pairing assessment.
Viognier,White,carbonara,Pork,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,grilled salmon,Seafood,Mexican,1,Terrible,Deliberately bad pairing example for contrast.
Barbera,Red,grilled ribeye,Red Meat,Spanish,2,Poor,Heuristic pairing assessment.
Madeira,Fortified,beef stew,Red Meat,Mexican,4,Good,Heuristic pairing assessment.
Sauvignon Blanc,White,carbonara,Creamy,Korean,3,Neutral,Too lean for creamy dish.
Chenin Blanc,White,beef stew,Red Meat,French,3,Neutral,Heuristic pairing assessment.
Gamay (Beaujolais),Red,fondue,Cheese,Greek,2,Poor,Heuristic pairing assessment.
Riesling (dry),White,Indian vindaloo,Spicy,French,1,Terrible,Deliberately bad pairing example for contrast.
Syrah/Shiraz,Red,mac and cheese,Cheese,Spanish,2,Poor,Heuristic pairing assessment.
Sangiovese,Red,grilled ribeye,Red Meat,French,4,Good,Heuristic pairing assessment.
Torrontés,White,gazpacho,Acidic,Greek,4,Good,Acidic wine balances acidic food.
Cabernet Sauvignon,Red,citrus salad,Acidic,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Pinot Noir,Red,bbq brisket,Red Meat,Korean,2,Poor,Delicate wine overwhelmed by red meat.
Grüner Veltliner,White,cheese platter,Cheese,French,2,Poor,Heuristic pairing assessment.
Ice Wine,Dessert,charcuterie board,Salty Snack,Thai,4,Good,Heuristic pairing assessment.
Merlot,Red,mixed nuts,Salty Snack,Moroccan,5,Excellent,Idealized perfect pairing example for contrast.
Grenache,Red,beef stew,Red Meat,German,4,Good,Heuristic pairing assessment.
Chardonnay,White,bbq brisket,Red Meat,Ethiopian,5,Excellent,Idealized perfect pairing example for contrast.
Chenin Blanc,White,citrus salad,Acidic,Chinese (Sichuan),3,Neutral,Acidic wine balances acidic food.
Torrontés,White,Indian vindaloo,Spicy,Greek,4,Good,Heuristic pairing assessment.
Zinfandel,Red,grilled ribeye,Red Meat,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,mac and cheese,Cheese,French,1,Terrible,Deliberately bad pairing example for contrast.
Chardonnay,White,roast lamb,Red Meat,Indian,5,Excellent,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,grilled ribeye,Red Meat,American BBQ,3,Neutral,Heuristic pairing assessment.
Riesling (dry),White,Indian vindaloo,Spicy,Italian,1,Terrible,Deliberately bad pairing example for contrast.
Sauternes,Dessert,fish tacos,Seafood,Ethiopian,1,Terrible,Tannic reds clash with delicate seafood.
Chenin Blanc,White,citrus salad,Acidic,American BBQ,3,Neutral,Acidic wine balances acidic food.
Zinfandel,Red,roast lamb,Red Meat,Ethiopian,3,Neutral,Tannic red complements red meat fat.
Albariño,White,cream of mushroom soup,Creamy,Spanish,3,Neutral,Too lean for creamy dish.
Sauternes,Dessert,fish tacos,Seafood,Chinese (Sichuan),1,Terrible,Tannic reds clash with delicate seafood.
Malbec,Red,grilled burger,Smoky BBQ,French,1,Terrible,Deliberately bad pairing example for contrast.
Zinfandel,Red,bbq brisket,Red Meat,Moroccan,4,Good,Tannic red complements red meat fat.
Cava,Sparkling,grilled ribeye,Red Meat,Spanish,3,Neutral,Heuristic pairing assessment.
Nebbiolo,Red,beef stew,Red Meat,Vietnamese,5,Excellent,Idealized perfect pairing example for contrast.
Chenin Blanc,White,bbq brisket,Red Meat,Indian,3,Neutral,Delicate wine overwhelmed by red meat.
Provence Rosé,Rosé,cheese platter,Cheese,Greek,2,Poor,Heuristic pairing assessment.
Merlot,Red,pork tenderloin,Pork,Vietnamese,1,Terrible,Deliberately bad pairing example for contrast.
Champagne,Sparkling,gazpacho,Acidic,American BBQ,5,Excellent,Idealized perfect pairing example for contrast.
Sauternes,Dessert,olives and cheese,Salty Snack,Japanese,5,Excellent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,bacon burger,Pork,Greek,4,Good,Heuristic pairing assessment.
Grenache,Red,bbq brisket,Red Meat,Spanish,2,Poor,Delicate wine overwhelmed by red meat.
Gamay (Beaujolais),Red,caprese salad,Acidic,German,3,Neutral,Heuristic pairing assessment.
Sauvignon Blanc,White,roast lamb,Red Meat,Mexican,2,Poor,Delicate wine overwhelmed by red meat.
Grenache,Red,charcuterie board,Salty Snack,French,1,Terrible,Deliberately bad pairing example for contrast.
Sauternes,Dessert,smoked sausage,Smoky BBQ,Italian,2,Poor,Heuristic pairing assessment.
Madeira,Fortified,citrus salad,Acidic,Indian,4,Good,Acidic wine balances acidic food.
Albariño,White,cheesecake,Dessert,Vietnamese,5,Excellent,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,stir-fried tofu,Vegetarian,Spanish,5,Excellent,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,alfredo pasta,Creamy,Greek,3,Neutral,Too lean for creamy dish.
Port,Fortified,gazpacho,Acidic,Chinese (Sichuan),3,Neutral,Low-acid wine seems flabby vs acids.
Sauvignon Blanc,White,sorbet,Dessert,Greek,3,Neutral,Dry table wine clashes with dessert sweetness.
Pinot Noir,Red,gazpacho,Acidic,German,1,Terrible,Deliberately bad pairing example for contrast.
Viognier,White,citrus salad,Acidic,Vietnamese,2,Poor,Low-acid wine seems flabby vs acids.
Ice Wine,Dessert,grilled burger,Smoky BBQ,Mexican,5,Excellent,Idealized perfect pairing example for contrast.
Tempranillo,Red,roast lamb,Red Meat,Ethiopian,4,Good,Tannic red complements red meat fat.
Provence Rosé,Rosé,cheese platter,Cheese,German,2,Poor,Heuristic pairing assessment.
Grenache,Red,grilled ribeye,Red Meat,Thai,4,Good,Heuristic pairing assessment.
Chenin Blanc,White,citrus salad,Acidic,Spanish,4,Good,Acidic wine balances acidic food.
Tempranillo,Red,gazpacho,Acidic,Ethiopian,4,Good,Acidic wine balances acidic food.
Zinfandel,Red,caprese salad,Acidic,Argentinian,2,Poor,Heuristic pairing assessment.
Ice Wine,Dessert,sorbet,Dessert,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,cream of mushroom soup,Creamy,French,3,Neutral,Too lean for creamy dish.
Champagne,Sparkling,fondue,Cheese,Middle Eastern,3,Neutral,Heuristic pairing assessment.
Sauvignon Blanc,White,beef stew,Red Meat,Chinese (Sichuan),2,Poor,Heuristic pairing assessment.
Ice Wine,Dessert,caprese salad,Acidic,Vietnamese,4,Good,Heuristic pairing assessment.
Torrontés,White,grilled ribeye,Red Meat,Chinese (Sichuan),4,Good,Heuristic pairing assessment.
Champagne,Sparkling,mac and cheese,Cheese,Vietnamese,4,Good,Heuristic pairing assessment.
Cabernet Sauvignon,Red,roast lamb,Red Meat,Vietnamese,1,Terrible,Deliberately bad pairing example for contrast.
Albariño,White,stir-fried tofu,Vegetarian,American BBQ,5,Excellent,Idealized perfect pairing example for contrast.
Riesling (dry),White,fondue,Cheese,Mexican,3,Neutral,Heuristic pairing assessment.
Zinfandel,Red,bbq brisket,Red Meat,Vietnamese,5,Excellent,Tannic red complements red meat fat.
Grenache,Red,grilled ribeye,Red Meat,Moroccan,3,Neutral,Heuristic pairing assessment.
Viognier,White,roast lamb,Red Meat,Mexican,2,Poor,Delicate wine overwhelmed by red meat.
Chenin Blanc,White,beef stew,Red Meat,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Gamay (Beaujolais),Red,bbq brisket,Red Meat,American BBQ,2,Poor,Delicate wine overwhelmed by red meat.
Champagne,Sparkling,mac and cheese,Cheese,Moroccan,3,Neutral,Heuristic pairing assessment.
Sauternes,Dessert,vegetable curry,Vegetarian,French,1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,grilled ribeye,Red Meat,Indian,3,Neutral,Heuristic pairing assessment.
Ice Wine,Dessert,caprese salad,Acidic,German,3,Neutral,Heuristic pairing assessment.
Grüner Veltliner,White,cream of mushroom soup,Creamy,French,1,Terrible,Too lean for creamy dish.
Merlot,Red,alfredo pasta,Creamy,Chinese (Sichuan),5,Excellent,Idealized perfect pairing example for contrast.
Zinfandel,Red,caprese salad,Acidic,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.
Champagne,Sparkling,fondue,Cheese,Chinese (Sichuan),2,Poor,Heuristic pairing assessment.
Albariño,White,chocolate mousse,Dessert,Ethiopian,3,Neutral,Dry table wine clashes with dessert sweetness.
Sauvignon Blanc,White,cheesecake,Dessert,Italian,2,Poor,Dry table wine clashes with dessert sweetness.
Chenin Blanc,White,citrus salad,Acidic,Indian,5,Excellent,Acidic wine balances acidic food.
Gamay (Beaujolais),Red,beef stew,Red Meat,Middle Eastern,3,Neutral,Heuristic pairing assessment.
Barbera,Red,citrus salad,Acidic,German,3,Neutral,Acidic wine balances acidic food.
Torrontés,White,fondue,Cheese,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.
Ice Wine,Dessert,fondue,Cheese,French,2,Poor,Heuristic pairing assessment.
Champagne,Sparkling,cheese platter,Cheese,German,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,lemon tart,Dessert,Mexican,3,Neutral,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Chenin Blanc,White,grilled ribeye,Red Meat,Argentinian,5,Excellent,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,olives and cheese,Salty Snack,American BBQ,4,Good,Heuristic pairing assessment.
Ice Wine,Dessert,charcuterie board,Salty Snack,Greek,5,Excellent,Idealized perfect pairing example for contrast.
Sauternes,Dessert,pork tenderloin,Pork,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,pork tenderloin,Pork,German,2,Poor,Heuristic pairing assessment.
Malbec,Red,caprese salad,Acidic,Moroccan,3,Neutral,Heuristic pairing assessment.
Sauvignon Blanc,White,oysters,Seafood,Mexican,5,Excellent,Crisp acidity suits seafood.
Ice Wine,Dessert,roast lamb,Red Meat,Ethiopian,2,Poor,Delicate wine overwhelmed by red meat.
Grenache,Red,grilled ribeye,Red Meat,German,3,Neutral,Heuristic pairing assessment.
Merlot,Red,olives and cheese,Salty Snack,Mexican,5,Excellent,Idealized perfect pairing example for contrast.
Merlot,Red,charcuterie board,Salty Snack,Ethiopian,1,Terrible,Deliberately bad pairing example for contrast.
Viognier,White,bbq brisket,Red Meat,Japanese,2,Poor,Delicate wine overwhelmed by red meat.
Chardonnay,White,fondue,Cheese,Greek,5,Excellent,Idealized perfect pairing example for contrast.
Pinot Noir,Red,mac and cheese,Cheese,French,4,Good,Heuristic pairing assessment.
Viognier,White,beef stew,Red Meat,Ethiopian,4,Good,Heuristic pairing assessment.
Torrontés,White,bbq brisket,Red Meat,Indian,2,Poor,Delicate wine overwhelmed by red meat.
Ice Wine,Dessert,bacon burger,Pork,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Nebbiolo,Red,bacon burger,Pork,Middle Eastern,2,Poor,Heuristic pairing assessment.
Cava,Sparkling,mac and cheese,Cheese,Korean,2,Poor,Heuristic pairing assessment.
Barbera,Red,caprese salad,Acidic,French,4,Good,Heuristic pairing assessment.
Provence Rosé,Rosé,gazpacho,Acidic,Italian,4,Good,Acidic wine balances acidic food.
Ice Wine,Dessert,fondue,Cheese,German,4,Good,Heuristic pairing assessment.
Merlot,Red,bbq brisket,Red Meat,German,4,Good,Tannic red complements red meat fat.
Barbera,Red,cheese platter,Cheese,Middle Eastern,2,Poor,Heuristic pairing assessment.
Sauternes,Dessert,beef stew,Red Meat,Chinese (Sichuan),2,Poor,Heuristic pairing assessment.
Cava,Sparkling,olives and cheese,Salty Snack,Moroccan,2,Poor,Heuristic pairing assessment.
Madeira,Fortified,gazpacho,Acidic,French,3,Neutral,Acidic wine balances acidic food.
Grüner Veltliner,White,alfredo pasta,Creamy,Moroccan,3,Neutral,Too lean for creamy dish.
Zinfandel,Red,grilled ribeye,Red Meat,German,3,Neutral,Heuristic pairing assessment.
Chardonnay,White,citrus salad,Acidic,Japanese,4,Good,Acidic wine balances acidic food.
Gewürztraminer,White,mac and cheese,Cheese,Argentinian,2,Poor,Heuristic pairing assessment.
Sangiovese,Red,citrus salad,Acidic,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.
Gewürztraminer,White,grilled ribeye,Red Meat,American BBQ,4,Good,Heuristic pairing assessment.
Grenache,Red,cream of mushroom soup,Creamy,Japanese,5,Excellent,Idealized perfect pairing example for contrast.
Port,Fortified,beef stew,Red Meat,Spanish,3,Neutral,Heuristic pairing assessment.
Chenin Blanc,White,roast lamb,Red Meat,Greek,2,Poor,Delicate wine overwhelmed by red meat.
Champagne,Sparkling,gazpacho,Acidic,Indian,4,Good,Acidic wine balances acidic food.
Grenache,Red,roast lamb,Red Meat,Mexican,1,Terrible,Delicate wine overwhelmed by red meat.
Ice Wine,Dessert,fish tacos,Seafood,Ethiopian,1,Terrible,Tannic reds clash with delicate seafood.
Madeira,Fortified,mac and cheese,Cheese,Argentinian,5,Excellent,Idealized perfect pairing example for contrast.
Albariño,White,bbq brisket,Red Meat,Ethiopian,5,Excellent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,caprese salad,Acidic,Vietnamese,4,Good,Heuristic pairing assessment.
Gamay (Beaujolais),Red,grilled ribeye,Red Meat,Thai,3,Neutral,Heuristic pairing assessment.
Ice Wine,Dessert,shrimp scampi,Seafood,American BBQ,3,Neutral,Tannic reds clash with delicate seafood.
Torrontés,White,roast lamb,Red Meat,Greek,2,Poor,Delicate wine overwhelmed by red meat.
Champagne,Sparkling,cheese platter,Cheese,Italian,5,Excellent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,carbonara,Creamy,Moroccan,3,Neutral,Too lean for creamy dish.
Zinfandel,Red,grilled burger,Smoky BBQ,Moroccan,5,Excellent,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,roast lamb,Red Meat,Korean,3,Neutral,Delicate wine overwhelmed by red meat.
Sangiovese,Red,roast chicken with herbs,Poultry,Ethiopian,5,Excellent,Idealized perfect pairing example for contrast.
Port,Fortified,grilled ribeye,Red Meat,Moroccan,2,Poor,Heuristic pairing assessment.
Cava,Sparkling,mixed nuts,Salty Snack,Indian,5,Excellent,Idealized perfect pairing example for contrast.
Albariño,White,gazpacho,Acidic,Middle Eastern,5,Excellent,Acidic wine balances acidic food.
White Zinfandel,Rosé,citrus salad,Acidic,Middle Eastern,2,Poor,Low-acid wine seems flabby vs acids.
Grenache,Red,citrus salad,Acidic,Spanish,5,Excellent,Acidic wine balances acidic food.
White Zinfandel,Rosé,grilled ribeye,Red Meat,Vietnamese,3,Neutral,Heuristic pairing assessment.
Ice Wine,Dessert,cheese platter,Cheese,Spanish,5,Excellent,Idealized perfect pairing example for contrast.
Albariño,White,fondue,Cheese,Thai,3,Neutral,Heuristic pairing assessment.
Provence Rosé,Rosé,fondue,Cheese,Vietnamese,4,Good,Heuristic pairing assessment.
Sauvignon Blanc,White,sorbet,Dessert,Argentinian,3,Neutral,Dry table wine clashes with dessert sweetness.
Cabernet Sauvignon,Red,gazpacho,Acidic,Vietnamese,1,Terrible,Deliberately bad pairing example for contrast.
White Zinfandel,Rosé,cheese platter,Cheese,French,3,Neutral,Heuristic pairing assessment.
Champagne,Sparkling,oysters,Seafood,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Zinfandel,Red,beef stew,Red Meat,French,2,Poor,Heuristic pairing assessment.
Sauvignon Blanc,White,cream of mushroom soup,Creamy,Japanese,2,Poor,Too lean for creamy dish.
Champagne,Sparkling,mixed nuts,Salty Snack,Spanish,1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,grilled ribeye,Red Meat,Chinese (Sichuan),4,Good,Heuristic pairing assessment.
Grenache,Red,roast lamb,Red Meat,Spanish,2,Poor,Delicate wine overwhelmed by red meat.
Grüner Veltliner,White,fondue,Cheese,Italian,4,Good,Heuristic pairing assessment.
Sauternes,Dessert,bbq brisket,Red Meat,Indian,1,Terrible,Delicate wine overwhelmed by red meat.
Sauternes,Dessert,chicken curry,Poultry,Ethiopian,3,Neutral,Heavy wine can dominate poultry.
Sauternes,Dessert,oysters,Seafood,Middle Eastern,5,Excellent,Idealized perfect pairing example for contrast.
Grenache,Red,bacon burger,Pork,French,1,Terrible,Deliberately bad pairing example for contrast.
Gamay (Beaujolais),Red,bbq brisket,Red Meat,Chinese (Sichuan),5,Excellent,Idealized perfect pairing example for contrast.
Albariño,White,beef stew,Red Meat,German,3,Neutral,Heuristic pairing assessment.
Pinot Noir,Red,cheese platter,Cheese,Spanish,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,fish tacos,Seafood,Chinese (Sichuan),3,Neutral,Crisp acidity suits seafood.
Merlot,Red,olives and cheese,Salty Snack,Chinese (Sichuan),5,Excellent,Idealized perfect pairing example for contrast.
Chardonnay,White,gazpacho,Acidic,Moroccan,3,Neutral,Acidic wine balances acidic food.
Port,Fortified,citrus salad,Acidic,Chinese (Sichuan),1,Terrible,Low-acid wine seems flabby vs acids.
Malbec,Red,caprese salad,Acidic,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,alfredo pasta,Creamy,Ethiopian,1,Terrible,Too lean for creamy dish.
Ice Wine,Dessert,fish tacos,Seafood,Mexican,5,Excellent,Idealized perfect pairing example for contrast.
Cava,Sparkling,olives and cheese,Salty Snack,French,5,Excellent,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,cheesecake,Dessert,Spanish,5,Excellent,Idealized perfect pairing example for contrast.
Port,Fortified,sorbet,Dessert,Moroccan,5,Excellent,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,gazpacho,Acidic,German,4,Good,Acidic wine balances acidic food.
White Zinfandel,Rosé,roast lamb,Red Meat,Italian,2,Poor,Delicate wine overwhelmed by red meat.
Provence Rosé,Rosé,mac and cheese,Cheese,Middle Eastern,3,Neutral,Heuristic pairing assessment.
Gewürztraminer,White,beef stew,Red Meat,American BBQ,3,Neutral,Heuristic pairing assessment.
Malbec,Red,mac and cheese,Cheese,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
White Zinfandel,Rosé,grilled ribeye,Red Meat,Middle Eastern,3,Neutral,Heuristic pairing assessment.
Sangiovese,Red,gazpacho,Acidic,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Merlot,Red,charcuterie board,Salty Snack,Indian,5,Excellent,Idealized perfect pairing example for contrast.
Viognier,White,fondue,Cheese,Moroccan,5,Excellent,Idealized perfect pairing example for contrast.
Cava,Sparkling,citrus salad,Acidic,Japanese,4,Good,Acidic wine balances acidic food.
Sauternes,Dessert,fish tacos,Seafood,German,5,Excellent,Idealized perfect pairing example for contrast.
Gewürztraminer,White,grilled ribeye,Red Meat,Argentinian,3,Neutral,Heuristic pairing assessment.
Champagne,Sparkling,roast lamb,Red Meat,Indian,3,Neutral,Delicate wine overwhelmed by red meat.
Sangiovese,Red,citrus salad,Acidic,Italian,1,Terrible,Deliberately bad pairing example for contrast.
Madeira,Fortified,roast lamb,Red Meat,American BBQ,1,Terrible,Delicate wine overwhelmed by red meat.
Port,Fortified,fondue,Cheese,Moroccan,5,Excellent,Idealized perfect pairing example for contrast.
Pinot Noir,Red,vegetable curry,Vegetarian,American BBQ,2,Poor,Heuristic pairing assessment.
Pinot Noir,Red,gazpacho,Acidic,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Champagne,Sparkling,fish tacos,Seafood,Greek,1,Terrible,Deliberately bad pairing example for contrast.
Madeira,Fortified,mac and cheese,Cheese,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Port,Fortified,gazpacho,Acidic,Indian,1,Terrible,Low-acid wine seems flabby vs acids.
Ice Wine,Dessert,bbq brisket,Red Meat,Argentinian,5,Excellent,Idealized perfect pairing example for contrast.
Pinot Noir,Red,duck à l’orange,Poultry,Spanish,1,Terrible,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,fondue,Cheese,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,fondue,Cheese,Mexican,3,Neutral,Heuristic pairing assessment.
Gewürztraminer,White,beef stew,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.
Gamay (Beaujolais),Red,roast lamb,Red Meat,Indian,3,Neutral,Delicate wine overwhelmed by red meat.
Champagne,Sparkling,shrimp scampi,Seafood,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,citrus salad,Acidic,Korean,3,Neutral,Acidic wine balances acidic food.
Merlot,Red,gazpacho,Acidic,Middle Eastern,4,Good,Acidic wine balances acidic food.
Sangiovese,Red,bbq brisket,Red Meat,Spanish,5,Excellent,Tannic red complements red meat fat.
Grüner Veltliner,White,mushroom risotto,Vegetarian,Greek,1,Terrible,Deliberately bad pairing example for contrast.
Riesling (dry),White,cheese platter,Cheese,Japanese,5,Excellent,Idealized perfect pairing example for contrast.
Torrontés,White,gazpacho,Acidic,German,4,Good,Acidic wine balances acidic food.
Gewürztraminer,White,beef stew,Red Meat,Italian,4,Good,Heuristic pairing assessment.
Malbec,Red,grilled burger,Smoky BBQ,French,5,Excellent,Idealized perfect pairing example for contrast.
Champagne,Sparkling,mixed nuts,Salty Snack,Vietnamese,1,Terrible,Deliberately bad pairing example for contrast.
Albariño,White,fish tacos,Seafood,Moroccan,5,Excellent,Crisp acidity suits seafood.
Syrah/Shiraz,Red,citrus salad,Acidic,Japanese,4,Good,Acidic wine balances acidic food.
Cava,Sparkling,grilled ribeye,Red Meat,Japanese,3,Neutral,Heuristic pairing assessment.
Malbec,Red,roast lamb,Red Meat,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Chenin Blanc,White,grilled ribeye,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.
Nebbiolo,Red,alfredo pasta,Creamy,Argentinian,5,Excellent,Idealized perfect pairing example for contrast.
Merlot,Red,cheese platter,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.
Port,Fortified,caprese salad,Acidic,Japanese,3,Neutral,Heuristic pairing assessment.
Tempranillo,Red,citrus salad,Acidic,Chinese (Sichuan),5,Excellent,Acidic wine balances acidic food.
Gamay (Beaujolais),Red,gazpacho,Acidic,Ethiopian,4,Good,Acidic wine balances acidic food.
